year,version,area_ha,tipo_region,nome_region,sigla_region
2018,0-4-12-spt-4,0.6175042297363281,bioma,Amazônia,AMZ
2019,0-4-12-spt-4,16.56183480224609,bioma,Amazônia,AMZ
2020,0-4-12-spt-4,20.086309320068366,bioma,Amazônia,AMZ
2021,0-4-12-spt-4,24.76352144775392,bioma,Amazônia,AMZ
2022,0-4-12-spt-4,25.998180792236337,bioma,Amazônia,AMZ
2023,0-4-12-spt-4,25.909768872070323,bioma,Amazônia,AMZ
2024,0-4-12-spt-4,26.878413812255868,bioma,Amazônia,AMZ
2025,0-4-12-spt-4,30.670709576416048,bioma,Amazônia,AMZ
2016,0-4-12-spt-4,555.0564627075189,bioma,Caatinga,CAT
2017,0-4-12-spt-4,1101.190167687988,bioma,Caatinga,CAT
2018,0-4-12-spt-4,2443.030371826166,bioma,Caatinga,CAT
2019,0-4-12-spt-4,2842.680302154539,bioma,Caatinga,CAT
2020,0-4-12-spt-4,3475.2504944213865,bioma,Caatinga,CAT
2021,0-4-12-spt-4,5783.982309924311,bioma,Caatinga,CAT
2022,0-4-12-spt-4,11527.958202880767,bioma,Caatinga,CAT
2023,0-4-12-spt-4,17363.152910497934,bioma,Caatinga,CAT
2024,0-4-12-spt-4,23714.587498876823,bioma,Caatinga,CAT
2025,0-4-12-spt-4,27173.956912396112,bioma,Caatinga,CAT
2016,0-4-12-spt-4,568.2921546508825,bioma,Cerrado,CER
2017,0-4-12-spt-4,1099.4013739990182,bioma,Cerrado,CER
2018,0-4-12-spt-4,1824.623287219231,bioma,Cerrado,CER
2019,0-4-12-spt-4,3170.298790472408,bioma,Cerrado,CER
2020,0-4-12-spt-4,3398.5077669555617,bioma,Cerrado,CER
2021,0-4-12-spt-4,4014.05006492922,bioma,Cerrado,CER
2022,0-4-12-spt-4,5646.825321154793,bioma,Cerrado,CER
2023,0-4-12-spt-4,8711.24819753419,bioma,Cerrado,CER
2024,0-4-12-spt-4,11784.969220886183,bioma,Cerrado,CER
2025,0-4-12-spt-4,13890.645678063906,bioma,Cerrado,CER
2017,0-4-12-spt-4,127.39780136718753,bioma,Mata Atlântica,MAT
2018,0-4-12-spt-4,507.7745662048329,bioma,Mata Atlântica,MAT
2019,0-4-12-spt-4,631.6475432739182,bioma,Mata Atlântica,MAT
2020,0-4-12-spt-4,643.3383206664954,bioma,Mata Atlântica,MAT
2021,0-4-12-spt-4,1076.2231973266485,bioma,Mata Atlântica,MAT
2022,0-4-12-spt-4,1207.2949376342656,bioma,Mata Atlântica,MAT
2023,0-4-12-spt-4,1728.7493393249367,bioma,Mata Atlântica,MAT
2024,0-4-12-spt-4,2114.89040021971,bioma,Mata Atlântica,MAT
2025,0-4-12-spt-4,2163.1847594604355,bioma,Mata Atlântica,MAT
2016,collection_10_1,0.3175607849121094,bioma,Pampa,PAM
2017,collection_10_1,1.429022576904297,bioma,Pampa,PAM
2018,collection_10_1,1.5878020141601563,bioma,Pampa,PAM
2019,collection_10_1,1.5878020141601563,bioma,Pampa,PAM
2020,collection_10_1,1.667191638183594,bioma,Pampa,PAM
2021,collection_10_1,1.9053628051757816,bioma,Pampa,PAM
2022,collection_10_1,1.9053628051757816,bioma,Pampa,PAM
2023,collection_10_1,1.9053628051757816,bioma,Pampa,PAM
2024,collection_10_1,2.4610949523925787,bioma,Pampa,PAM
2025,collection_10_1,2.4610949523925787,bioma,Pampa,PAM
2016,0-4-12-spt-4,645.775800531009,estado,Bahia,BA
2017,0-4-12-spt-4,985.9698948913522,estado,Bahia,BA
2018,0-4-12-spt-4,1362.3512543090724,estado,Bahia,BA
2019,0-4-12-spt-4,1725.288013183586,estado,Bahia,BA
2020,0-4-12-spt-4,2086.7926497863714,estado,Bahia,BA
2021,0-4-12-spt-4,2661.379487463366,estado,Bahia,BA
2022,0-4-12-spt-4,4237.30805727533,estado,Bahia,BA
2023,0-4-12-spt-4,5160.721102569518,estado,Bahia,BA
2024,0-4-12-spt-4,5616.30571394642,estado,Bahia,BA
2025,0-4-12-spt-4,6784.646441973767,estado,Bahia,BA
2016,0-4-12-spt-4,7.223950561523439,estado,Ceará,CE
2017,0-4-12-spt-4,7.223950561523439,estado,Ceará,CE
2018,0-4-12-spt-4,506.0843364623989,estado,Ceará,CE
2019,0-4-12-spt-4,551.7791094604488,estado,Ceará,CE
2020,0-4-12-spt-4,558.995819085693,estado,Ceará,CE
2021,0-4-12-spt-4,1364.1666129333476,estado,Ceará,CE
2022,0-4-12-spt-4,1615.6251626586848,estado,Ceará,CE
