year,version,area_ha
2018,0-4-11-c25-4,0.6175042297363281
2018,0-4-12-spt-4,0.6175042297363281
2018,0-4,0.6175042297363281
2018,0-4-13-w3y-4,0.6175042297363281
2018,0-4-10-agr-2,0.6175042297363281
2018,0-4-11-amz-3,0.6175042297363281
2019,0-4-11-c25-4,16.56183480224609
2019,0-4,16.29738657226562
2019,0-4-12-spt-4,16.56183480224609
2019,0-4-13-w3y-4,16.56183480224609
2019,0-4-10-agr-2,16.56183480224609
2019,0-4-11-amz-3,16.56183480224609
2020,0-4-12-spt-4,20.086309320068366
2020,0-4-11-c25-4,20.086309320068366
2020,0-4,18.412190051269533
2020,collection_10_1,15.069242425537102
2020,0-4-13-w3y-4,20.086309320068366
2020,0-4-10-agr-2,20.086309320068366
2020,0-4-11-amz-3,20.086309320068366
2021,0-4-11-c25-4,24.76352144775392
2021,0-4-12-spt-4,24.76352144775392
2021,0-4-10-agr-2,24.76352144775392
2021,0-4-11-amz-3,24.76352144775392
2021,0-4,23.44049255981446
2021,0-4-13-w3y-4,24.76352144775392
2021,collection_10_1,28.551281134033232
2022,0-4-12-spt-4,25.998180792236337
2022,0-4-10-agr-2,25.82194708862305
2022,0-4-11-amz-3,25.82194708862305
2022,0-4,24.05804000244142
2022,0-4-13-w3y-4,25.998180792236337
2022,collection_10_1,28.28663615722659
2022,0-4-11-c25-4,25.82194708862305
2023,0-4-11-amz-3,25.82175018310548
2023,0-4-11-c25-4,25.82175018310548
2023,0-4-10-agr-2,25.82175018310548
2023,0-4-12-spt-4,25.909768872070323
2023,0-4,24.14625488281251
2023,collection_10_1,28.37485158081057
2023,0-4-13-w3y-4,25.909768872070323
2024,0-4-11-c25-4,26.878413812255868
2024,0-4-11-amz-3,26.878413812255868
2024,0-4-10-agr-2,26.87841381225587
2024,0-4-12-spt-4,26.878413812255868
2024,0-4,25.026684533691416
2024,collection_10_1,34.99148557128909
2024,0-4-13-w3y-4,26.87841381225587
2025,0-4-11-c25-4,30.670709576416044
2025,0-4-11-amz-3,30.670709576416048
2025,0-4-10-agr-2,30.670709576416048
2025,0-4-12-spt-4,30.670709576416048
2025,0-4,29.17164423217774
2025,0-4-13-w3y-4,30.670709576416044
