year,version,area_ha
2016,collection_10_1,337.05226430053654
2016,0-4-11-c25-4,554.6153781005852
2016,0-4-13-w3y-4,555.0564627075188
2016,0-4-11-amz-3,554.6153781005852
2016,0-4-12-spt-4,555.0564627075189
2016,0-4-10-agr-2,554.6153781005852
2016,0-4,525.4464870605461
2017,0-4-12-spt-4,1101.190167687988
2017,0-4,1019.2919661987302
2017,0-4-11-amz-3,1096.5160894897458
2017,collection_10_1,942.1405811157209
2017,0-4-11-c25-4,1096.5160894897458
2017,0-4-13-w3y-4,1101.190167687988
2017,0-4-10-agr-2,1096.5160894897458
2018,0-4,2296.44479721069
2018,0-4-13-w3y-4,2443.030371826166
2018,collection_10_1,2097.3335680358814
2018,0-4-10-agr-2,2434.28199204101
2018,0-4-11-c25-4,2434.28199204101
2018,0-4-11-amz-3,2434.28199204101
2018,0-4-12-spt-4,2443.030371826166
2019,0-4-12-spt-4,2842.680302154539
2019,0-4-10-agr-2,2832.0887334716776
2019,0-4-11-c25-4,2832.088733471677
2019,0-4,2684.944828637692
2019,0-4-13-w3y-4,2842.6803021545393
2019,collection_10_1,2469.1016111328076
2019,0-4-11-amz-3,2832.0887334716776
2020,0-4-12-spt-4,3475.2504944213865
2020,0-4,3325.17316836548
2020,0-4-13-w3y-4,3475.250494421386
2020,0-4-10-agr-2,3464.298057360839
2020,collection_10_1,3559.6128196533246
2020,0-4-11-c25-4,3464.2980573608384
2020,0-4-11-amz-3,3464.298057360839
2021,0-4-11-amz-3,5765.243179949946
2021,0-4-10-agr-2,5765.243179949946
2021,0-4-13-w3y-4,5783.982309924311
2021,collection_10_1,5797.549550299065
2021,0-4,5545.033670513913
2021,0-4-11-c25-4,5765.243179949946
2021,0-4-12-spt-4,5783.982309924311
2022,0-4-13-w3y-4,11527.958202880769
2022,0-4-11-amz-3,11487.398129357829
2022,collection_10_1,10919.869011096143
2022,0-4-10-agr-2,11487.398129357827
2022,0-4-11-c25-4,11487.398129357827
2022,0-4-12-spt-4,11527.958202880769
2022,0-4,11151.699709435976
2023,0-4-11-amz-3,17297.24343137806
2023,0-4,16822.254354980356
2023,0-4-11-c25-4,17297.24343137806
2023,0-4-12-spt-4,17363.152910497934
2023,0-4-10-agr-2,17297.24343137806
2023,collection_10_1,15491.39279379871
2023,0-4-13-w3y-4,17363.152910497934
2024,0-4,23029.527173565537
2024,0-4-11-c25-4,23617.075631518434
2024,0-4-12-spt-4,23714.587498876826
2024,collection_10_1,21833.974485778737
2024,0-4-10-agr-2,23617.075631518426
2024,0-4-11-amz-3,23617.075631518434
2024,0-4-13-w3y-4,23714.587498876823
2025,0-4,26386.38174348742
2025,0-4-11-c25-4,27057.45017620226
2025,0-4-12-spt-4,27173.956912396112
2025,0-4-10-agr-2,27057.450176202263
2025,0-4-11-amz-3,27057.450176202263
2025,0-4-13-w3y-4,27173.956912396105
