year,version,area_ha
2016,collection_10_1,484.94380059204707
2016,0-4-11-c25-4,566.6429404480014
2016,0-4-13-w3y-4,568.2921546508825
2016,0-4-11-amz-3,566.6429404480014
2016,0-4-12-spt-4,568.2921546508825
2016,0-4-10-agr-2,566.6429404480014
2016,0-4,549.4047915771517
2017,0-4-12-spt-4,1099.4013739990182
2017,0-4,1076.1035577270477
2017,0-4-11-amz-3,1096.2186637390087
2017,collection_10_1,718.6969199096634
2017,0-4-11-c25-4,1096.2186637390087
2017,0-4-13-w3y-4,1099.4013739990182
2017,0-4-10-agr-2,1096.2186637390087
2018,0-4,1779.8532591552682
2018,0-4-13-w3y-4,1824.623287219231
2018,collection_10_1,1199.8093612243622
2018,0-4-10-agr-2,1821.3669728332454
2018,0-4-11-c25-4,1821.3669728332454
2018,0-4-11-amz-3,1821.3669728332454
2018,0-4-12-spt-4,1824.623287219231
2019,0-4-12-spt-4,3170.2987904724077
2019,0-4-10-agr-2,3161.439918560783
2019,0-4-11-c25-4,3161.439918560783
2019,0-4,3092.226635113508
2019,0-4-13-w3y-4,3170.2987904724077
2019,collection_10_1,2260.764142181384
2019,0-4-11-amz-3,3161.4399185607836
2020,0-4-12-spt-4,3398.5077669555617
2020,0-4,3306.322596398901
2020,0-4-13-w3y-4,3398.5077669555617
2020,0-4-10-agr-2,3391.3407635803155
2020,collection_10_1,2422.8386364684884
2020,0-4-11-c25-4,3391.3407635803155
2020,0-4-11-amz-3,3391.3407635803155
2021,0-4-11-amz-3,4004.3783539245815
2021,0-4-10-agr-2,4004.3783539245815
2021,0-4-13-w3y-4,4014.05006492922
2021,collection_10_1,3033.3940451721414
2021,0-4,3909.159217553751
2021,0-4-11-c25-4,4004.3783539245815
2021,0-4-12-spt-4,4014.05006492922
2022,0-4-13-w3y-4,5646.825321154793
2022,0-4-11-amz-3,5626.459148016364
2022,collection_10_1,4583.147777575681
2022,0-4-10-agr-2,5626.459148016365
2022,0-4-11-c25-4,5626.459148016364
2022,0-4-12-spt-4,5646.825321154793
2022,0-4,5492.018457543966
2023,0-4-11-amz-3,8679.163366625988
2023,0-4,8484.220442974887
2023,0-4-11-c25-4,8679.163366625986
2023,0-4-12-spt-4,8711.24819753419
2023,0-4-10-agr-2,8679.163366625988
2023,collection_10_1,7447.766103729236
2023,0-4-13-w3y-4,8711.248197534193
2024,0-4,11517.932202612283
2024,0-4-11-c25-4,11748.813372058059
2024,0-4-12-spt-4,11784.969220886185
2024,collection_10_1,11261.737000634688
2024,0-4-10-agr-2,11748.813372058059
2024,0-4-11-amz-3,11748.813372058059
2024,0-4-13-w3y-4,11784.969220886183
2025,0-4,13622.401033508248
2025,0-4-11-c25-4,13848.861228601021
2025,0-4-12-spt-4,13890.645678063906
2025,0-4-10-agr-2,13848.861228601021
2025,0-4-11-amz-3,13848.861228601021
2025,0-4-13-w3y-4,13890.645678063906
