year,version,area_ha
2017,0-4-11-c25-4,126.64990291748047
2017,0-4-10-agr-2,126.64990291748047
2017,0-4-13-w3y-4,127.39780136718753
2017,collection_10_1,25.34667993774409
2017,0-4-11-amz-3,126.64990291748047
2017,0-4-12-spt-4,127.39780136718753
2017,0-4,117.5085217346194
2018,0-4-10-agr-2,507.6912152282704
2018,0-4-11-c25-4,507.6912152282704
2018,collection_10_1,236.30925475463889
2018,0-4-11-amz-3,507.6912152282704
2018,0-4,492.4597797790501
2018,0-4-13-w3y-4,507.7745662048329
2018,0-4-12-spt-4,507.7745662048329
2019,0-4,617.8115912536545
2019,0-4-13-w3y-4,631.6475432739182
2019,collection_10_1,357.3292942993175
2019,0-4-10-agr-2,631.5641922973557
2019,0-4-12-spt-4,631.6475432739182
2019,0-4-11-amz-3,631.5641922973557
2019,0-4-11-c25-4,631.5641922973557
2020,0-4-12-spt-4,643.3383206664954
2020,0-4-10-agr-2,643.0887641601478
2020,0-4,632.6743994750884
2020,0-4-13-w3y-4,643.3383206664954
2020,0-4-11-amz-3,643.0887641601478
2020,collection_10_1,587.3504353698663
2020,0-4-11-c25-4,643.0887641601478
2021,0-4-12-spt-4,1076.2231973266485
2021,0-4,1058.344735192858
2021,0-4-13-w3y-4,1076.2231973266485
2021,collection_10_1,1019.3666537597542
2021,0-4-11-c25-4,1074.048126068103
2021,0-4-11-amz-3,1074.048126068103
2021,0-4-10-agr-2,1074.048126068103
2022,0-4-11-amz-3,1204.1946284973023
2022,0-4-11-c25-4,1204.1946284973023
2022,0-4-10-agr-2,1204.1946284973023
2022,0-4-13-w3y-4,1207.2949376342656
2022,0-4-12-spt-4,1207.2949376342656
2022,collection_10_1,1323.736248101793
2022,0-4,1188.7434284179562
2023,collection_10_1,1757.2456792480327
2023,0-4-11-amz-3,1725.1527212341164
2023,0-4-11-c25-4,1725.1527212341161
2023,0-4-13-w3y-4,1728.7493393249367
2023,0-4-10-agr-2,1725.1527212341166
2023,0-4-12-spt-4,1728.7493393249367
2023,0-4,1693.3778145568713
2024,0-4-11-amz-3,2108.668089880355
2024,0-4-13-w3y-4,2114.8904002197105
2024,0-4-11-c25-4,2108.668089880355
2024,0-4-10-agr-2,2108.6680898803547
2024,0-4,2060.2052676696626
2024,0-4-12-spt-4,2114.89040021971
2024,collection_10_1,2184.800184942613
2025,0-4-11-amz-3,2159.659924877916
2025,0-4-12-spt-4,2163.1847594604355
2025,0-4,2113.188047882066
2025,0-4-11-c25-4,2159.659924877916
2025,0-4-10-agr-2,2159.659924877916
2025,0-4-13-w3y-4,2163.1847594604355
