year,version,area_ha
2016,collection_10_1,481.59900696411717
2016,0-4-11-c25-4,644.4665379699737
2016,0-4-13-w3y-4,645.7758005310092
2016,0-4-11-amz-3,644.4665379699737
2016,0-4-12-spt-4,645.775800531009
2016,0-4-10-agr-2,644.4665379699737
2016,0-4,625.543765057376
2017,0-4-12-spt-4,985.9698948913522
2017,0-4,958.2427727233858
2017,0-4-11-amz-3,983.6164885620065
2017,collection_10_1,805.7168219543411
2017,0-4-11-c25-4,983.6164885620065
2017,0-4-13-w3y-4,985.9698948913522
2017,0-4-10-agr-2,983.6164885620065
2018,0-4,1322.1204264648368
2018,0-4-13-w3y-4,1362.3512543090726
2018,collection_10_1,1148.5545706970179
2018,0-4-10-agr-2,1359.5534363037013
2018,0-4-11-c25-4,1359.5534363037016
2018,0-4-11-amz-3,1359.5534363037016
2018,0-4-12-spt-4,1362.3512543090724
2019,0-4-12-spt-4,1725.288013183586
2019,0-4-10-agr-2,1721.1828954711837
2019,0-4-11-c25-4,1721.1828954711837
2019,0-4,1681.1029577697682
2019,0-4-13-w3y-4,1725.288013183586
2019,collection_10_1,1455.587872320552
2019,0-4-11-amz-3,1721.1828954711839
2020,0-4-12-spt-4,2086.7926497863714
2020,0-4,2024.0430295837355
2020,0-4-13-w3y-4,2086.7926497863714
2020,0-4-10-agr-2,2081.811013104242
2020,collection_10_1,1693.7680967651315
2020,0-4-11-c25-4,2081.8110131042417
2020,0-4-11-amz-3,2081.811013104242
2021,0-4-11-amz-3,2654.985983972155
2021,0-4-10-agr-2,2654.985983972155
2021,0-4-13-w3y-4,2661.3794874633654
2021,collection_10_1,2397.6791156616114
2021,0-4,2571.6654855651745
2021,0-4-11-c25-4,2654.9859839721553
2021,0-4-12-spt-4,2661.379487463366
2022,0-4-13-w3y-4,4237.30805727533
2022,0-4-11-amz-3,4223.583296209663
2022,collection_10_1,3661.806302477989
2022,0-4-10-agr-2,4223.583296209663
2022,0-4-11-c25-4,4223.583296209663
2022,0-4-12-spt-4,4237.30805727533
2022,0-4,4103.613423730433
2023,0-4-11-amz-3,5144.555555035338
2023,0-4,5016.568972051942
2023,0-4-11-c25-4,5144.555555035338
2023,0-4-12-spt-4,5160.721102569518
2023,0-4-10-agr-2,5144.555555035338
2023,collection_10_1,4518.029829913261
2023,0-4-13-w3y-4,5160.721102569518
2024,0-4,5490.419561920062
2024,0-4-11-c25-4,5601.997033367811
2024,0-4-12-spt-4,5616.30571394642
2024,collection_10_1,5564.142152703762
2024,0-4-10-agr-2,5601.997033367812
2024,0-4-11-amz-3,5601.997033367812
2024,0-4-13-w3y-4,5616.30571394642
2025,0-4,6605.467877618308
2025,0-4-11-c25-4,6745.437835662732
2025,0-4-12-spt-4,6784.646441973767
2025,0-4-10-agr-2,6745.437835662733
2025,0-4-11-amz-3,6745.437835662733
2025,0-4-13-w3y-4,6784.646441973766
