year,version,area_ha
2016,collection_10_1,65.50432072753925
2016,0-4-11-c25-4,120.93030104980453
2016,0-4-13-w3y-4,121.35730640258772
2016,0-4-11-amz-3,120.93030104980453
2016,0-4-12-spt-4,121.35730640258772
2016,0-4-10-agr-2,120.93030104980453
2016,0-4,114.86670250244124
2017,0-4-12-spt-4,424.7099713256827
2017,0-4,416.34040444335886
2017,0-4-11-amz-3,422.5748536010735
2017,collection_10_1,87.71687847290049
2017,0-4-11-c25-4,422.5748536010735
2017,0-4-13-w3y-4,424.7099713256828
2017,0-4-10-agr-2,422.5748536010735
2018,0-4,1071.2078269226095
2018,0-4-13-w3y-4,1104.6145459655775
2018,collection_10_1,360.13775089111357
2018,0-4-10-agr-2,1101.6231574096696
2018,0-4-11-c25-4,1101.6231574096696
2018,0-4-11-amz-3,1101.6231574096696
2018,0-4-12-spt-4,1104.6145459655775
2019,0-4-12-spt-4,1235.213610986329
2019,0-4-10-agr-2,1231.3739414367687
2019,0-4-11-c25-4,1231.3739414367687
2019,0-4,1199.7867824951195
2019,0-4-13-w3y-4,1235.213610986329
2019,collection_10_1,470.605528051758
2019,0-4-11-amz-3,1231.3739414367687
2020,0-4-12-spt-4,1380.0325837768573
2020,0-4,1338.7509321411155
2020,0-4-13-w3y-4,1380.0325837768569
2020,0-4-10-agr-2,1375.8540334716809
2020,collection_10_1,504.65641461792023
2020,0-4-11-c25-4,1375.8540334716809
2020,0-4-11-amz-3,1375.8540334716809
2021,0-4-11-amz-3,1817.1202945129417
2021,0-4-10-agr-2,1817.1202945129417
2021,0-4-13-w3y-4,1823.7874791442894
2021,collection_10_1,1248.932602441402
2021,0-4,1767.465042352298
2021,0-4-11-c25-4,1817.1202945129417
2021,0-4-12-spt-4,1823.7874791442894
2022,0-4-13-w3y-4,5886.795767254613
2022,0-4-11-amz-3,5868.781531414768
2022,collection_10_1,4456.91791939697
2022,0-4-10-agr-2,5868.78153141477
2022,0-4-11-c25-4,5868.781531414769
2022,0-4-12-spt-4,5886.795767254613
2022,0-4,5742.360126507537
2023,0-4-11-amz-3,9185.902924578812
2023,0-4,9025.534798828077
2023,0-4-11-c25-4,9185.902924578808
2023,0-4-12-spt-4,9207.977260479689
2023,0-4-10-agr-2,9185.902924578812
2023,collection_10_1,7939.796485839809
2023,0-4-13-w3y-4,9207.977260479689
2024,0-4,13884.119140716477
2024,0-4-11-c25-4,14113.195199426224
2024,0-4-12-spt-4,14148.449762097127
2024,collection_10_1,13064.555695874
2024,0-4-10-agr-2,14113.195199426224
2024,0-4-11-amz-3,14113.195199426222
2024,0-4-13-w3y-4,14148.449762097123
2025,0-4,15985.086229699635
2025,0-4-11-c25-4,16228.119881036331
2025,0-4-12-spt-4,16258.129073681592
2025,0-4-10-agr-2,16228.119881036331
2025,0-4-11-amz-3,16228.119881036331
2025,0-4-13-w3y-4,16258.12907368159
