year,version,area_ha
2018,collection_10_1,127.19691405639624
2018,0-4,99.59324528198184
2018,0-4-13-w3y-4,104.83031432495078
2018,0-4-11-c25-4,104.12020155639608
2018,0-4-11-amz-3,104.12020155639608
2018,0-4-12-spt-4,104.83031432495078
2018,0-4-10-agr-2,104.12020155639608
2019,0-4-12-spt-4,104.6527931579586
2019,0-4,99.59324528198184
2019,0-4-10-agr-2,104.03144584960896
2019,0-4-13-w3y-4,104.6527931579586
2019,0-4-11-c25-4,104.03144584960896
2019,collection_10_1,127.64072731933572
2019,0-4-11-amz-3,104.03144584960896
2020,0-4-13-w3y-4,261.66154904784906
2020,0-4,245.1524196228008
2020,0-4-12-spt-4,261.66154904784906
2020,collection_10_1,265.4782310607888
2020,0-4-10-agr-2,260.4189104309056
2020,0-4-11-c25-4,260.4189104309056
2020,0-4-11-amz-3,260.4189104309056
2021,collection_10_1,306.929424719236
2021,0-4-13-w3y-4,380.5097255248999
2021,0-4,359.5626618774395
2021,0-4-10-agr-2,379.4445976928686
2021,0-4-11-c25-4,379.4445976928686
2021,0-4-11-amz-3,379.4445976928686
2021,0-4-12-spt-4,380.5097255248999
2022,0-4-11-amz-3,804.8531284240719
2022,0-4-13-w3y-4,812.0431567749022
2022,collection_10_1,818.5246797180175
2022,0-4-11-c25-4,804.8531284240719
2022,0-4,765.6188801391605
2022,0-4-10-agr-2,804.8531284240719
2022,0-4-12-spt-4,812.0431567749021
2023,0-4,1045.770594049072
2023,0-4-13-w3y-4,1091.4836288269066
2023,0-4-11-amz-3,1084.7377306762712
2023,0-4-10-agr-2,1084.7377306762712
2023,0-4-11-c25-4,1084.7377306762712
2023,collection_10_1,1100.186384234618
2023,0-4-12-spt-4,1091.4836288269066
2024,0-4-11-amz-3,1322.9010835022007
2024,0-4,1272.0384638855016
2024,0-4-12-spt-4,1330.800896350101
2024,collection_10_1,1336.928834875492
2024,0-4-11-c25-4,1322.9010835022007
2024,0-4-10-agr-2,1322.9010835022007
2024,0-4-13-w3y-4,1330.8008963501006
2025,0-4,1292.8100049011266
2025,0-4-12-spt-4,1353.8807492736848
2025,0-4-11-c25-4,1345.8920799194373
2025,0-4-10-agr-2,1345.892079919437
2025,0-4-11-amz-3,1345.8920799194373
2025,0-4-13-w3y-4,1353.880749273685
