year,version,area_ha
2018,collection_10_1,13.993528790283182
2018,0-4,1.7692038574218756
2018,0-4-13-w3y-4,1.7692038574218756
2018,0-4-11-c25-4,1.7692038574218756
2018,0-4-11-amz-3,1.7692038574218756
2018,0-4-12-spt-4,1.7692038574218756
2018,0-4-10-agr-2,1.7692038574218756
2019,0-4-12-spt-4,44.67229620971688
2019,0-4,43.8761523925782
2019,0-4-10-agr-2,44.67229620971688
2019,0-4-13-w3y-4,44.67229620971688
2019,0-4-11-c25-4,44.67229620971688
2019,collection_10_1,53.44725934448247
2019,0-4-11-amz-3,44.67229620971688
2020,0-4-13-w3y-4,44.76119953613291
2020,0-4,44.31889970703133
2020,0-4-12-spt-4,44.76119953613291
2020,collection_10_1,58.05019486083988
2020,0-4-10-agr-2,44.76119953613291
2020,0-4-11-c25-4,44.76119953613291
2020,0-4-11-amz-3,44.76119953613291
2021,collection_10_1,475.7467058227562
2021,0-4-13-w3y-4,539.2276366210967
2021,0-4,522.4054329406766
2021,0-4-10-agr-2,538.5192464416533
2021,0-4-11-c25-4,538.5192464416534
2021,0-4-11-amz-3,538.5192464416533
2021,0-4-12-spt-4,539.2276366210967
2022,0-4-11-amz-3,744.2570049682629
2022,0-4-13-w3y-4,747.0017813842785
2022,collection_10_1,1067.1684005737297
2022,0-4-11-c25-4,744.2570049682629
2022,0-4,723.273634027101
2022,0-4-10-agr-2,744.2570049682629
2022,0-4-12-spt-4,747.0017813842785
2023,0-4,2350.345742395018
2023,0-4-13-w3y-4,2425.8020447204567
2023,0-4-11-amz-3,2415.3495515136697
2023,0-4-10-agr-2,2415.349551513669
2023,0-4-11-c25-4,2415.349551513669
2023,collection_10_1,2107.4153905029257
2023,0-4-12-spt-4,2425.8020447204567
2024,0-4-11-amz-3,2777.3181652587677
2024,0-4,2717.541616314684
2024,0-4-12-spt-4,2787.9452511291297
2024,collection_10_1,2667.7325339965632
2024,0-4-11-c25-4,2777.3181652587687
2024,0-4-10-agr-2,2777.3181652587677
2024,0-4-13-w3y-4,2787.9452511291297
2025,0-4,3020.5191230956884
2025,0-4-12-spt-4,3098.5271765990997
2025,0-4-11-c25-4,3089.406238165261
2025,0-4-10-agr-2,3089.4062381652607
2025,0-4-11-amz-3,3089.4062381652607
2025,0-4-13-w3y-4,3098.5271765990997
