year,version,area_ha
2016,collection_10_1,264.1103136169428
2016,0-4-11-c25-4,348.6375289672849
2016,0-4-13-w3y-4,348.99155986328094
2016,0-4-11-amz-3,348.6375289672849
2016,0-4-12-spt-4,348.991559863281
2016,0-4-10-agr-2,348.6375289672849
2016,0-4,327.39522973022434
2017,0-4-12-spt-4,535.6724341552743
2017,0-4,492.132777081299
2017,0-4-11-amz-3,533.194545941163
2017,collection_10_1,403.7118535949696
2017,0-4-11-c25-4,533.194545941163
2017,0-4-13-w3y-4,535.6724341552743
2017,0-4-10-agr-2,533.194545941163
2018,0-4,803.3628420410153
2018,0-4-13-w3y-4,862.0370608886717
2018,collection_10_1,889.9096256164519
2018,0-4-10-agr-2,859.4705492858886
2018,0-4-11-c25-4,859.4705492858886
2018,0-4-11-amz-3,859.4705492858886
2018,0-4-12-spt-4,862.0370608886717
2019,0-4-12-spt-4,2019.3512302490249
2019,0-4-10-agr-2,2011.940155761717
2019,0-4-11-c25-4,2011.9401557617166
2019,0-4,1919.3457223937855
2019,0-4-13-w3y-4,2019.3512302490249
2019,collection_10_1,1773.1921682678108
2019,0-4-11-amz-3,2011.940155761717
2020,0-4-12-spt-4,2204.3304066467304
2020,0-4,2133.3856546935863
2020,0-4-13-w3y-4,2204.33040664673
2020,0-4-10-agr-2,2200.5337889648436
2020,collection_10_1,2171.5446786926136
2020,0-4-11-c25-4,2200.5337889648436
2020,0-4-11-amz-3,2200.5337889648436
2021,0-4-11-amz-3,2653.0772044128717
2021,0-4-10-agr-2,2653.0772044128717
2021,0-4-13-w3y-4,2659.258064233428
2021,collection_10_1,2644.8164939453404
2021,0-4,2581.8046122009755
2021,0-4-11-c25-4,2653.0772044128717
2021,0-4-12-spt-4,2659.258064233428
2022,0-4-13-w3y-4,2933.4548234069907
2022,0-4-11-amz-3,2924.0955400390712
2022,collection_10_1,2940.446065777586
2022,0-4-10-agr-2,2924.0955400390712
2022,0-4-11-c25-4,2924.095540039071
2022,0-4-12-spt-4,2933.454823406991
2022,0-4,2845.210876959258
2023,0-4-11-amz-3,3605.670201141368
2023,0-4,3490.9074378296204
2023,0-4-11-c25-4,3605.670201141368
2023,0-4-12-spt-4,3620.705582086192
2023,0-4-10-agr-2,3605.670201141368
2023,collection_10_1,3422.2099982055624
2023,0-4-13-w3y-4,3620.7055820861924
2024,0-4,4449.741805169709
2024,0-4-11-c25-4,4601.935058563237
2024,0-4-12-spt-4,4626.2135190429735
2024,collection_10_1,3788.536025500469
2024,0-4-10-agr-2,4601.935058563238
2024,0-4-11-amz-3,4601.935058563238
2024,0-4-13-w3y-4,4626.2135190429735
2025,0-4,4779.636394122329
2025,0-4-11-c25-4,4918.77645189209
2025,0-4-12-spt-4,4946.950464593505
2025,0-4-10-agr-2,4918.77645189209
2025,0-4-11-amz-3,4918.77645189209
2025,0-4-13-w3y-4,4946.950464593506
