year,version,area_ha
2017,collection_10_1,25.34667993774409
2017,0-4-11-amz-3,126.64990291748047
2017,0-4-10-agr-2,126.64990291748047
2017,0-4-13-w3y-5,127.14851029052735
2017,0-4-12-spt-4,127.39780136718753
2017,0-4,117.5085217346194
2018,0-4-11-amz-3,507.6912152282704
2018,0-4-13-w3y-5,508.0238790954579
2018,collection_10_1,236.30925475463889
2018,0-4-12-spt-4,507.7745662048329
2018,0-4,492.4597797790501
2018,0-4-10-agr-2,507.6912152282704
2019,0-4,617.8115912536545
2019,0-4-13-w3y-5,632.7281531494066
2019,0-4-12-spt-4,631.6475432739182
2019,0-4-10-agr-2,631.5641922973557
2019,0-4-11-amz-3,631.5641922973557
2019,collection_10_1,338.736214593507
2020,0-4,632.6743994750884
2020,0-4-13-w3y-5,644.5159776916421
2020,0-4-12-spt-4,643.3383206664954
2020,collection_10_1,566.420254968255
2020,0-4-10-agr-2,643.0887641601478
2020,0-4-11-amz-3,643.0887641601478
2021,0-4-11-amz-3,1074.048126068103
2021,0-4-13-w3y-5,1075.8878872619514
2021,0-4-10-agr-2,1074.048126068103
2021,0-4-12-spt-4,1076.2231973266485
2021,0-4,1058.344735192858
2021,collection_10_1,997.3605342407112
2022,0-4-10-agr-2,1204.1946284973023
2022,0-4-11-amz-3,1204.1946284973023
2022,0-4-12-spt-4,1207.2949376342656
2022,0-4-13-w3y-5,1207.2117240783575
2022,0-4,1188.7434284179562
2022,collection_10_1,1293.2261183593614
2023,0-4-10-agr-2,1645.7173102966162
2023,0-4-11-amz-3,1645.717310296616
2023,0-4-13-w3y-5,1650.237087011704
2023,0-4,1616.7793842223982
2023,collection_10_1,1629.9992920593118
2023,0-4-12-spt-4,1647.8067934081882
2024,0-4-10-agr-2,2022.8494613647292
2024,0-4-13-w3y-5,2029.6359479003745
2024,0-4-11-amz-3,2022.8494613647297
2024,0-4,1980.503860363754
2024,collection_10_1,2006.5582318359232
2024,0-4-12-spt-4,2028.6284937621904
2025,0-4-10-agr-2,2074.107249230943
2025,0-4-12-spt-4,2077.4547718444683
2025,0-4-11-amz-3,2074.107249230943
2025,0-4,2032.6000870422215
2025,0-4-13-w3y-5,2077.28807019652
