year,version,area_ha
2018,collection_10_1,8.642912036132815
2018,0-4-11-amz-3,12.258830047607422
2018,0-4-10-agr-2,12.258830047607422
2018,0-4-13-w3y-5,12.34702275390625
2018,0-4-12-spt-4,12.34702275390625
2018,0-4,12.258830047607422
2019,0-4-11-amz-3,12.258830047607422
2019,0-4-10-agr-2,12.258830047607422
2019,0-4-13-w3y-5,12.34702275390625
2019,collection_10_1,8.731104742431643
2019,0-4-12-spt-4,12.34702275390625
2019,0-4,12.258830047607422
2020,0-4-13-w3y-5,12.43521546020508
2020,0-4-12-spt-4,12.43521546020508
2020,0-4-10-agr-2,12.43521546020508
2020,0-4,12.43521546020508
2020,0-4-11-amz-3,12.43521546020508
2020,collection_10_1,8.642912036132815
2021,collection_10_1,21.430958526611395
2021,0-4,28.13364891967776
2021,0-4-13-w3y-5,28.486423272705103
2021,0-4-12-spt-4,28.486423272705103
2021,0-4-10-agr-2,28.486423272705103
2021,0-4-11-amz-3,28.486423272705103
2022,0-4-11-amz-3,28.751003222656276
2022,0-4-10-agr-2,28.751003222656276
2022,0-4-12-spt-4,28.751003222656276
2022,0-4,28.398229144287136
2022,collection_10_1,24.164947973632827
2022,0-4-13-w3y-5,28.751003222656276
2023,0-4-10-agr-2,29.103777978515645
2023,0-4-11-amz-3,29.103777978515645
2023,0-4-12-spt-4,29.103777978515645
2023,0-4,28.751003900146507
2023,collection_10_1,24.605916656494152
2023,0-4-13-w3y-5,29.103777978515645
2024,0-4-10-agr-2,39.24602251586921
2024,0-4-11-amz-3,39.24602251586921
2024,0-4,39.06963493041999
2024,collection_10_1,36.77661138305669
2024,0-4-12-spt-4,39.334216241455145
2024,0-4-13-w3y-5,39.334216241455145
2025,0-4-10-agr-2,42.773971453857484
2025,0-4-11-amz-3,42.773971453857484
2025,0-4,42.597583868408265
2025,0-4-12-spt-4,42.86216517944342
2025,0-4-13-w3y-5,42.86216517944342
