year,version,area_ha
2016,collection_10_1,822.3136256774957
2016,0-4-11-c25-4,1121.2583185485867
2016,0-4-13-w3y-4,1123.3486173584013
2016,0-4-11-amz-3,1121.2583185485867
2016,0-4-12-spt-4,1123.3486173584013
2016,0-4-10-agr-2,1121.2583185485867
2016,0-4,1074.851278637698
2017,0-4-12-spt-4,2327.989343054194
2017,0-4,2212.904045660397
2017,0-4-11-amz-3,2319.3846561462346
2017,collection_10_1,1687.6132035400326
2017,0-4-11-c25-4,2319.3846561462346
2017,0-4-13-w3y-4,2327.989343054194
2017,0-4-10-agr-2,2319.3846561462346
2018,0-4,4569.375340374744
2018,0-4-13-w3y-4,4776.045729479967
2018,collection_10_1,3535.039986029042
2018,0-4-10-agr-2,4763.957684332262
2018,0-4-11-c25-4,4763.957684332262
2018,0-4-11-amz-3,4763.957684332262
2018,0-4-12-spt-4,4776.045729479967
2019,0-4-12-spt-4,6661.18847070311
2019,0-4-10-agr-2,6641.654679132062
2019,0-4-11-c25-4,6641.654679132062
2019,0-4,6411.280441577119
2019,0-4-13-w3y-4,6661.18847070311
2019,collection_10_1,5088.782849627669
2019,0-4-11-amz-3,6641.6546791320625
2020,0-4-12-spt-4,7537.182891363512
2020,0-4,7282.582354290739
2020,0-4-13-w3y-4,7537.182891363511
2020,0-4-10-agr-2,7518.81389442137
2020,collection_10_1,6586.538325555401
2020,0-4-11-c25-4,7518.81389442137
2020,0-4-11-amz-3,7518.81389442137
2021,0-4-11-amz-3,10868.433181390383
2021,0-4-10-agr-2,10868.433181390383
2021,0-4-13-w3y-4,10899.019093627932
2021,collection_10_1,9880.76689317017
2021,0-4,10535.978115820337
2021,0-4-11-c25-4,10868.433181390385
2021,0-4-12-spt-4,10899.019093627932
2022,0-4-13-w3y-4,18408.076642462063
2022,0-4-11-amz-3,18343.873852960118
2022,collection_10_1,16856.945035736022
2022,0-4-10-agr-2,18343.873852960118
2022,0-4-11-c25-4,18343.873852960118
2022,0-4-12-spt-4,18408.076642462063
2022,0-4,17856.519635400342
2023,0-4-11-amz-3,27727.38126942127
2023,0-4,27023.998867394926
2023,0-4-11-c25-4,27727.38126942127
2023,0-4-12-spt-4,27829.060216229132
2023,0-4-10-agr-2,27727.381269421265
2023,collection_10_1,24726.684791161966
2023,0-4-13-w3y-4,27829.060216229132
2024,0-4,36632.691328381174
2024,0-4-11-c25-4,37501.4355072691
2024,0-4-12-spt-4,37641.325533794974
2024,collection_10_1,35317.96425187972
2024,0-4-10-agr-2,37501.435507269096
2024,0-4-11-amz-3,37501.435507269096
2024,0-4-13-w3y-4,37641.325533794974
2025,0-4,42151.14246910992
2025,0-4-11-c25-4,43096.64203925761
2025,0-4-12-spt-4,43258.458059496865
2025,0-4-10-agr-2,43096.64203925761
2025,0-4-11-amz-3,43096.64203925761
2025,0-4-13-w3y-4,43258.458059496865
