year,version,area_ha,tipo_region,nome_region,sigla_region
2016,0-4-12-spt-4,4.67100509643555,bioma,Mata Atlântica,MAT
2017,0-4-12-spt-4,43.568322253418,bioma,Mata Atlântica,MAT
2018,0-4-12-spt-4,87.5408171386719,bioma,Mata Atlântica,MAT
2019,0-4-12-spt-4,226.438065014648,bioma,Mata Atlântica,MAT
2020,0-4-12-spt-4,258.019165625,bioma,Mata Atlântica,MAT
2021,0-4-12-spt-4,278.42177399292,bioma,Mata Atlântica,MAT
2022,0-4-12-spt-4,303.605822735596,bioma,Mata Atlântica,MAT
2023,0-4-12-spt-4,323.258896154785,bioma,Mata Atlântica,MAT
2024,0-4-12-spt-4,336.318827410889,bioma,Mata Atlântica,MAT
2025,0-4-12-spt-4,357.818983398438,bioma,Mata Atlântica,MAT
2016,0-4-12-spt-4,3605.41640176391,bioma,Caatinga,CAT
2017,0-4-12-spt-4,5564.50839999389,bioma,Caatinga,CAT
2018,0-4-12-spt-4,6830.70456364135,bioma,Caatinga,CAT
2019,0-4-12-spt-4,11975.821479718,bioma,Caatinga,CAT
2020,0-4-12-spt-4,14310.2655918823,bioma,Caatinga,CAT
2021,0-4-12-spt-4,16908.0725190552,bioma,Caatinga,CAT
2022,0-4-12-spt-4,19540.4006910035,bioma,Caatinga,CAT
2023,0-4-12-spt-4,21742.037401233,bioma,Caatinga,CAT
2024,0-4-12-spt-4,23415.6287344666,bioma,Caatinga,CAT
2025,0-4-12-spt-4,24445.3201017578,bioma,Caatinga,CAT
2016,0-4-12-spt-4,1078.29389500122,bioma,Cerrado,CER
2017,0-4-12-spt-4,1302.47279252929,bioma,Cerrado,CER
2018,0-4-12-spt-4,1339.62140728149,bioma,Cerrado,CER
2019,0-4-12-spt-4,1507.46081808471,bioma,Cerrado,CER
2020,0-4-12-spt-4,1616.80414552002,bioma,Cerrado,CER
2021,0-4-12-spt-4,1668.29592282715,bioma,Cerrado,CER
2022,0-4-12-spt-4,1905.29391125488,bioma,Cerrado,CER
2023,0-4-12-spt-4,2005.43920609741,bioma,Cerrado,CER
2024,0-4-12-spt-4,2121.42187089843,bioma,Cerrado,CER
2025,0-4-12-spt-4,2180.21478304443,bioma,Cerrado,CER
2016,0-4-12-spt-4,94.6296344360351,bioma,Pampa,PAM
2017,0-4-12-spt-4,879.439103326415,bioma,Pampa,PAM
2018,0-4-12-spt-4,964.552606335449,bioma,Pampa,PAM
2019,0-4-12-spt-4,1008.96658944702,bioma,Pampa,PAM
2020,0-4-12-spt-4,1091.36195315552,bioma,Pampa,PAM
2021,0-4-12-spt-4,1185.00991012573,bioma,Pampa,PAM
2022,0-4-12-spt-4,1424.59440952149,bioma,Pampa,PAM
2023,0-4-12-spt-4,1506.37667148438,bioma,Pampa,PAM
2024,0-4-12-spt-4,1590.64090438233,bioma,Pampa,PAM
2025,0-4-12-spt-4,1695.64462432862,bioma,Pampa,PAM
2016,0-4-12-spt-4,1941.072665100098,estado,Bahia,BA
2017,0-4-12-spt-4,2989.302696844484,estado,Bahia,BA
2018,0-4-12-spt-4,3571.0021716735846,estado,Bahia,BA
2019,0-4-12-spt-4,4347.180435913086,estado,Bahia,BA
2020,0-4-12-spt-4,5005.464227868653,estado,Bahia,BA
