Conta de: caatinga01
masks_pixels_toSample_7721  |  READY  |  UMW7QGR6HPLOOKHGBWC5DLUU
masks_pixels_toSample_7721  |  READY  |  KZQN4YUVVPL3LCPQW5SEZ4IN
masks_pixels_toSample_761111  |  READY  |  Q2HRDE3GGAYJGOSZXHEAZNTY
7564_2023_cc_33  |  READY  |  TNJOUDU7EWJSPZ7RCIRQN2L5
7564_2023_cc_22  |  READY  |  DACP3TNN3QVWOD2SH7ZOPTG2
7564_2023_cc_21  |  READY  |  PM2SJE732JL2PMUM6P7I46XH
7564_2023_cc_18  |  READY  |  7KFSFPISQSXZUYVCLOE3KAP6
7564_2023_cc_15  |  READY  |  Z6EETYJQOCLKH3672KGVRUZU
7564_2023_cc_12  |  READY  |  54DY6UGKNXYEFMHOZY6PGSUJ
7564_2023_cc_3  |  READY  |  WYOKNAVYSE3MQUOCN7HMHIUK
7564_2023_cc_4  |  READY  |  ACWLNGUK6ATIVBKWHHKCVJ65
7564_2022_cc_33  |  READY  |  F4TWYDK7LPTBDUCQG54NWUKT
7564_2022_cc_22  |  READY  |  YJJPGD2EBTMSBDQ4KPGRREXT
7564_2022_cc_21  |  READY  |  XW2J4AP6SJBPYO5B3GKAKME5
7564_2022_cc_18  |  READY  |  MS7NPGBBNLFMXTGN2TJR4SWI
7564_2022_cc_15  |  READY  |  3FMQUB7WJXBPN7GLRZE5HNNN
7564_2022_cc_12  |  READY  |  7YBUWKCGNCV3VKN2KBQWMGJF
7564_2022_cc_3  |  READY  |  RKCENDCHLCXPWX3SGNGYGHH3
7564_2022_cc_4  |  READY  |  MX6RKXORGYCEIITRN4ZUNXZP
7564_2021_cc_33  |  READY  |  2WIABDNW5WSFNJUXMI7VHMTA
7564_2021_cc_22  |  READY  |  PACKNQYTR256BXIMBK6UAUTL
7564_2021_cc_21  |  READY  |  NFIFYY325SOMM7AFRWNPTWK5
7564_2021_cc_18  |  READY  |  GP4EJQNLLP7IJO54JV7E7A5O
7564_2021_cc_15  |  READY  |  46DG3QUM5SSCYPHZUGTWR5BQ
7564_2021_cc_12  |  READY  |  B3HVLIIONUY5IMARSVHQFXMU
7564_2021_cc_3  |  READY  |  LY4IIIKNKHFFU7NN4EXA7SYS
7564_2021_cc_4  |  READY  |  P4W5QKXKUX3UUS4DF2XUWQTI
7564_2020_cc_33  |  READY  |  VE72TE7ETIKPGABHTCN6QBBE
7564_2020_cc_22  |  READY  |  YGGGBEBBYYCVVEMVNMFZ2PAJ
7564_2020_cc_21  |  READY  |  7UNL2FOAO7B2MNITZVC57LIP
7564_2020_cc_18  |  READY  |  R5WB7GIUFPGVLDIZL6EY3WNX
7564_2020_cc_15  |  READY  |  GPBAT5DNN5B44EJPMLBY5UVR
7564_2020_cc_12  |  READY  |  Z3IAYTVZX6ZZJEYRZREFRZ6K
7564_2020_cc_3  |  READY  |  3LPA2X55MZ7WEC7TAYOP5EIP
7564_2020_cc_4  |  READY  |  XXNAZJVYU75OH3YNJSPQGBSD
7564_2019_cc_33  |  READY  |  YMZ64FXB6UFXIE45C566YSCB
7564_2019_cc_22  |  READY  |  VVS2X6HS5BHUQFNK5ERLNPVI
7564_2019_cc_21  |  READY  |  6GC5TODYISMMNEBUX44DI3BS
7564_2019_cc_18  |  READY  |  ZI3X3EGAMIHH7EVGZMSIAAXF
7564_2019_cc_15  |  READY  |  XDHH5HOHXWVR6FRQM65BA2N5
7564_2019_cc_12  |  READY  |  C43VZYFEWZ4O4GVYVEIQH4RZ
7564_2019_cc_3  |  READY  |  6TUJF3CPOF4WVNBASZ4YRVHO
7564_2019_cc_4  |  READY  |  FCBTQTVFM3UBWYZBWZXQ2PNT
7564_2018_cc_33  |  READY  |  K2RBHHZ33B4VQ3OYZGHEK4IH
7564_2018_cc_22  |  READY  |  UAZIWQ6E2KZU2QDM72ZTZW6E
7564_2018_cc_21  |  READY  |  K6SXRJSLKABEKEQOVJZG7BAV
7564_2018_cc_18  |  READY  |  7Z6BEMK2TNC2DHIUMHM5XLCQ
7564_2018_cc_15  |  READY  |  GQSFB3VGJDXNTQVH5FOANRHN
7564_2018_cc_12  |  READY  |  KSFZHHNQK53VVN2PG557XZW4
7564_2018_cc_3  |  READY  |  J7PITUPIYNGSPA2WEKPUGS5A
7564_2018_cc_4  |  READY  |  YQRWBVCEQAZPUZYCMF54C2GQ
7564_2017_cc_33  |  READY  |  6YGMKOHDQNOOFWISU47KSW2W
7564_2017_cc_22  |  READY  |  T4NHKINNY3KKBVULJJQHQABJ
7564_2017_cc_21  |  READY  |  DDHNJTKFEFU6NQ7VVCSR6WVD
7564_2017_cc_18  |  READY  |  2YPJBVYXZRAFUUBQHOCPNBYF
7564_2017_cc_15  |  READY  |  BRESTDMJQUOFB3RLWFT7GC5Y
7564_2017_cc_12  |  READY  |  U6VWYCN36AFV7D35TLY6USWO
7564_2017_cc_3  |  READY  |  Y4YUN5T5YJKSZANUSXSRD4NN
7564_2017_cc_4  |  READY  |  YUHFN2OJ62HU2OABQC6BW3TV
7564_2016_cc_33  |  READY  |  O577TEUNOT3AAJGDWAP3ISEI
7564_2016_cc_22  |  READY  |  VANGIF5GOO35X7HGENYTXMQ6
7564_2016_cc_21  |  READY  |  IZM2UMWSLJSDWWSISNZK3IPW
7564_2016_cc_18  |  READY  |  JLOLEUA5ZLWZFT7SZ4VC46GX
7564_2016_cc_15  |  READY  |  2OVF6NLXZPZCYH5LXWHS7AWZ
7564_2016_cc_12  |  READY  |  H7PB7ZHAUG4R4A44322VP4HC
7564_2016_cc_3  |  READY  |  OYYN2ZCY4PPC7JKNZ7FBEZUE
7564_2016_cc_4  |  READY  |  HSVJTY62W7SNVKU76WQP7YIR
7617_2023_cc_33  |  READY  |  H5FNQ5IWNZTYQ75HIU7GKSK7
